Distribution,Sample Length,Gini Coefficient,Herfindahl-Hirschman Index,Entropy,Nakamoto Coefficient,Apokedro
Uniform,2,0.12615185993519895,0.5318285835302202,0.6609720069586922,1,1.0
Normal,2,0.033734956916329883,0.5022760946362932,0.6908693559026173,1,1.0
Exponential,2,0.465840909596269,0.9340155061069586,0.14891481686149058,1,1.0
Bimodal,2,0.17474875440540094,0.5610742543324783,0.6307645167987369,1,1.0
Log-normal,2,0.12385777683966515,0.5306814977673286,0.6621439328394436,1,0.5
Chi-Square,2,0.2002634886149186,0.5802109297444354,0.6106408833869709,1,0.5
Uniform,3,0.21004461856923587,0.3834117503302498,1.0225495319154176,2,0.5
Normal,3,0.04127658680684624,0.3356906592761958,1.095138629607134,2,0.5
Exponential,3,0.5155042442000889,0.7013532348480455,0.5675268808460351,1,1.0
Bimodal,3,0.14847039338451062,0.5440869154235026,0.6483883867582713,1,1.0
Log-normal,3,0.18700835709609187,0.3761880809188886,1.0274410657869355,2,0.5
Chi-Square,3,0.3326764027868614,0.4631012815728153,0.8526008868707334,1,0.5
Uniform,4,0.2207140287998366,0.290782782068464,1.2955481341474315,2,0.5
Normal,4,0.04771249485636653,0.25188717418719314,1.3824642268371163,2,0.5
Exponential,4,0.4654517358684893,0.47477078030706127,0.9896489491466076,1,1.0
Bimodal,4,0.21863192912718787,0.293634225388722,1.2952910025455409,2,0.5
Log-normal,4,0.25899660998388807,0.3046870209994805,1.2744133970153313,2,0.5
Chi-Square,4,0.1566724426154511,0.2715056260766638,1.3389677818678307,2,0.3333333333333333
Uniform,5,0.20930494125736257,0.2306654712343878,1.5198113692897959,2,0.3
Normal,5,0.0362954047628131,0.20101028714787356,1.6068474492784488,3,0.25
Exponential,5,0.40542622764431746,0.33716302695078215,1.2954885245244392,1,1.0
Bimodal,5,0.2231938783810088,0.2950865694733408,1.293750675669488,2,0.4375
Log-normal,5,0.32634889946447226,0.2759071633991191,1.4280664342756395,2,0.40625
Chi-Square,5,0.4112932459622575,0.31442222081450605,1.2950765471216295,2,0.5
